기간,원자력,유연탄,무연탄,유류,LNG
2020/05,6.039,53.653,62.736,188.297,84.95
2020/04,6.032,51.987,64.881,187.295,80.905
2020/03,6.023,51.902,69.368,186.063,84.223
2020/02,5.995,52.091,70.433,186.716,82.313
2020/01,5.96,51.623,69.276,187.277,84.68
2019/12,5.963,54.462,72.613,186.805,82.846
2019/11,5.961,55.674,70.395,184.728,82.461
2019/10,5.975,55.06,64.964,189.846,91.154
2019/09,5.971,56.449,66.628,183.902,82.572
2019/08,5.969,59.853,71.512,183.396,85.911
2019/07,5.973,59.259,59.355,183.28,83.809
2019/06,5.969,56.967,68.133,178.218,83.732
2019/05,5.951,53.926,69.304,176.681,81.68
2019/04,5.936,54.637,71.131,168.177,103.834
2019/03,5.913,55.193,57.428,161.329,116.254
2019/02,5.864,56.072,61.956,192.753,112.318
2019/01,5.862,59.492,60.578,194.603,113.936
2018/12,5.85,58.48,69.21,191.81,114.05
2018/11,5.844,58.125,63.367,188.669,107.953
2018/10,5.8428,57.3267,67.7609,184.5094,103.3931
2018/09,5.84,54.72,61.95,172.22,99.59
2018/08,5.84,54.96,62.36,160.62,93.54
2018/07,5.83064771,55.34745165,65.5089353,160.3529184,91.93574925
2018/06,5.859746488,53.96533843,66.17727511,158.8161287,91.92520696
2018/05,5.8617730866,54.09520806741,63.76071775657,159.16155426689,88.96661057836
2018/04,5.86341592,52.08339934,64.4536106,159.2988036,91.94016424
2018/03,5.853670573,52.43456307,63.86707666,155.9873566,103.5670809
2018/02,5.824214636,50.09773327,63.96301103,145.5297202,93.67438334
