tourist,year,month
0.949909,2018,2
1.114393,2018,3
1.311203,2018,4
1.296975,2018,5
1.293728,2018,6
1.237049,2018,7
1.278528,2018,8
1.221589,2018,9
1.263722,2018,10
1.153595,2018,11
1.090892,2018,12
1.130843,2019,1
1.110817,2019,2
1.164834,2019,3
1.298026,2019,4
1.323866,2019,5
1.307217,2019,6
1.310076,2019,7
1.421455,2019,8
1.181516,2019,9
1.422312,2019,10
1.323551,2019,11
1.291623,2019,12
1.250046,2020,1
0.628804,2020,2
0.480762,2020,3
0.542258,2020,4
0.79432,2020,5
0.78433,2020,6
